geometry, dimension, cardinality
linear,2,25
linear,2,50
linear,2,75
linear,2,100
linear,2,150
linear,2,200
linear,2,250
linear,2,300
linear,3,21
linear,3,45
linear,3,66
linear,3,91
linear,3,136
linear,3,190
linear,3,231
linear,3,300
linear,4,24
linear,4,35
linear,4,56
linear,4,84
linear,4,120
linear,4,165
linear,4,220
linear,4,286
linear,5,20
linear,5,50
linear,5,75
linear,5,85
linear,5,126
linear,5,210
linear,6,21
linear,6,42
linear,6,62
linear,6,77
linear,6,147
linear,6,182
linear,6,273
linear,7,14
linear,7,35
linear,7,56
linear,7,91
linear,7,112
linear,7,168
linear,7,238
linear,7,294
linear,8,16
linear,8,44
linear,8,72
linear,8,128
linear,8,156
linear,8,240
linear,9,18
linear,9,45
linear,9,54
linear,9,90
linear,9,174
linear,9,210
linear,10,20
linear,10,65
linear,10,110
linear,10,230
linear,10,275
concave,2,25
concave,2,50
concave,2,75
concave,2,100
concave,2,150
concave,2,200
concave,2,250
concave,2,300
concave,3,21
concave,3,45
concave,3,66
concave,3,91
concave,3,136
concave,3,190
concave,3,231
concave,3,300
concave,4,24
concave,4,35
concave,4,56
concave,4,84
concave,4,120
concave,4,165
concave,4,220
concave,4,286
concave,5,20
concave,5,50
concave,5,75
concave,5,85
concave,5,126
concave,5,210
concave,6,21
concave,6,42
concave,6,62
concave,6,77
concave,6,147
concave,6,182
concave,6,273
concave,7,14
concave,7,35
concave,7,56
concave,7,91
concave,7,112
concave,7,168
concave,7,238
concave,7,294
concave,8,16
concave,8,44
concave,8,72
concave,8,128
concave,8,156
concave,8,240
concave,9,18
concave,9,45
concave,9,54
concave,9,90
concave,9,174
concave,9,210
concave,10,20
concave,10,65
concave,10,110
concave,10,230
concave,10,275
convex,2,25
convex,2,50
convex,2,75
convex,2,100
convex,2,150
convex,2,200
convex,2,250
convex,2,300
convex,3,21
convex,3,45
convex,3,66
convex,3,91
convex,3,136
convex,3,190
convex,3,231
convex,3,300
convex,4,24
convex,4,35
convex,4,56
convex,4,84
convex,4,120
convex,4,165
convex,4,220
convex,4,286
convex,5,20
convex,5,50
convex,5,75
convex,5,85
convex,5,126
convex,5,210
convex,6,21
convex,6,42
convex,6,62
convex,6,77
convex,6,147
convex,6,182
convex,6,273
convex,7,14
convex,7,35
convex,7,56
convex,7,91
convex,7,112
convex,7,168
convex,7,238
convex,7,294
convex,8,16
convex,8,44
convex,8,72
convex,8,128
convex,8,156
convex,8,240
convex,9,18
convex,9,45
convex,9,54
convex,9,90
convex,9,174
convex,9,210
convex,10,20
convex,10,65
convex,10,110
convex,10,230
convex,10,275
disconnected,2,25
disconnected,2,50
disconnected,2,75
disconnected,2,100
disconnected,2,150
disconnected,2,200
disconnected,2,250
disconnected,2,300
disconnected,3,21
disconnected,3,45
disconnected,3,66
disconnected,3,91
disconnected,3,136
disconnected,3,190
disconnected,3,231
disconnected,3,300
disconnected,4,24
disconnected,4,35
disconnected,4,56
disconnected,4,84
disconnected,4,120
disconnected,4,165
disconnected,4,220
disconnected,4,286
disconnected,5,20
disconnected,5,50
disconnected,5,75
disconnected,5,85
disconnected,5,126
disconnected,5,210
disconnected,6,21
disconnected,6,42
disconnected,6,62
disconnected,6,77
disconnected,6,147
disconnected,6,182
disconnected,6,273
disconnected,7,14
disconnected,7,35
disconnected,7,56
disconnected,7,91
disconnected,7,112
disconnected,7,168
disconnected,7,238
disconnected,7,294
disconnected,8,16
disconnected,8,44
disconnected,8,72
disconnected,8,128
disconnected,8,156
disconnected,8,240
disconnected,9,18
disconnected,9,45
disconnected,9,54
disconnected,9,90
disconnected,9,174
disconnected,9,210
disconnected,10,20
disconnected,10,65
disconnected,10,110
disconnected,10,230
disconnected,10,275
degenerate,2,25
degenerate,2,50
degenerate,2,75
degenerate,2,100
degenerate,2,150
degenerate,2,200
degenerate,2,250
degenerate,2,300
degenerate,3,21
degenerate,3,45
degenerate,3,66
degenerate,3,91
degenerate,3,136
degenerate,3,190
degenerate,3,231
degenerate,3,300
degenerate,4,24
degenerate,4,35
degenerate,4,56
degenerate,4,84
degenerate,4,120
degenerate,4,165
degenerate,4,220
degenerate,4,286
degenerate,5,20
degenerate,5,50
degenerate,5,75
degenerate,5,85
degenerate,5,126
degenerate,5,210
degenerate,6,21
degenerate,6,42
degenerate,6,62
degenerate,6,77
degenerate,6,147
degenerate,6,182
degenerate,6,273
degenerate,7,14
degenerate,7,35
degenerate,7,56
degenerate,7,91
degenerate,7,112
degenerate,7,168
degenerate,7,238
degenerate,7,294
degenerate,8,16
degenerate,8,44
degenerate,8,72
degenerate,8,128
degenerate,8,156
degenerate,8,240
degenerate,9,18
degenerate,9,45
degenerate,9,54
degenerate,9,90
degenerate,9,174
degenerate,9,210
degenerate,10,20
degenerate,10,65
degenerate,10,110
degenerate,10,230
degenerate,10,275
mixed,2,25
mixed,2,50
mixed,2,75
mixed,2,100
mixed,2,150
mixed,2,200
mixed,2,250
mixed,2,300
mixed,3,21
mixed,3,45
mixed,3,66
mixed,3,91
mixed,3,136
mixed,3,190
mixed,3,231
mixed,3,300
mixed,4,24
mixed,4,35
mixed,4,56
mixed,4,84
mixed,4,120
mixed,4,165
mixed,4,220
mixed,4,286
mixed,5,20
mixed,5,50
mixed,5,75
mixed,5,85
mixed,5,126
mixed,5,210
mixed,6,21
mixed,6,42
mixed,6,62
mixed,6,77
mixed,6,147
mixed,6,182
mixed,6,273
mixed,7,14
mixed,7,35
mixed,7,56
mixed,7,91
mixed,7,112
mixed,7,168
mixed,7,238
mixed,7,294
mixed,8,16
mixed,8,44
mixed,8,72
mixed,8,128
mixed,8,156
mixed,8,240
mixed,9,18
mixed,9,45
mixed,9,54
mixed,9,90
mixed,9,174
mixed,9,210
mixed,10,20
mixed,10,65
mixed,10,110
mixed,10,230
mixed,10,275
