geometry, dimension, cardinality, alpha
linear, 2, 25, 312.599054
linear, 2, 50, 1425.393452
linear, 2, 75, 3663.135238
linear, 2, 100, 60610.418965
linear, 2, 150, 13849.066743
linear, 2, 200, 25150.924404
linear, 2, 250, 41654.058139
linear, 2, 300, 50307.890068
linear, 3, 25, 38.576399
linear, 3, 50, 74.828078
linear, 3, 75, 124.384827
linear, 3, 100, 240.406497
linear, 3, 150, 274.543506
linear, 3, 200, 407.756715
linear, 3, 250, 612.575653
linear, 3, 300, 689.772139
linear, 4, 25, 41.016408
linear, 4, 50, 95.984742
linear, 4, 75, 169.962728
linear, 4, 100, 160.726470
linear, 4, 150, 180.745774
linear, 4, 200, 150.971666
linear, 4, 250, 275.164061
linear, 4, 300, 227.010285
linear, 5, 25, 26.047788
linear, 5, 50, 41.028628
linear, 5, 75, 93.521310
linear, 5, 100, 171.417888
linear, 5, 150, 93.148020
linear, 5, 200, 109.032281
linear, 5, 250, 117.156391
linear, 5, 300, 106.144710
linear, 6, 25, 28.956529
linear, 6, 50, 39.649900
linear, 6, 75, 50.360075
linear, 6, 100, 47.262156
linear, 6, 150, 49.417349
linear, 6, 200, 45.518612
linear, 6, 250, 44.951584
linear, 6, 300, 45.887831
linear, 7, 25, 27.288886
linear, 7, 50, 29.290575
linear, 7, 75, 31.331945
linear, 7, 100, 30.551174
linear, 7, 150, 29.888379
linear, 7, 200, 29.910332
linear, 7, 250, 27.563335
linear, 7, 300, 884.214113
linear, 8, 25, 108.540870
linear, 8, 50, 37.602713
linear, 8, 75, 24.305424
linear, 8, 100, 18.867440
linear, 8, 150, 18.202602
linear, 8, 200, 631.640181
linear, 8, 250, 719.024126
linear, 8, 300, 883.062068
linear, 9, 25, 73.881559
linear, 9, 50, 20.497966
linear, 9, 75, 16.698097
linear, 9, 100, 13.660891
linear, 9, 150, 417.647503
linear, 9, 200, 69.008493
linear, 9, 250, 70.762596
linear, 9, 300, 46.785568
linear, 10, 25, 163.484205
linear, 10, 50, 12.972331
linear, 10, 75, 9.476297
linear, 10, 100, 9.955467
linear, 10, 150, 292.289836
linear, 10, 200, 383.915257
linear, 10, 250, 205.877116
linear, 10, 300, 210.238217
concave, 2, 25, 1082.949351
concave, 2, 50, 42930.390913
concave, 2, 75, 173191.196792
concave, 2, 100, 35392.544581
concave, 2, 150, 56297.723789
concave, 2, 200, 262137.241063
concave, 2, 250, 32476.409884
concave, 2, 300, 48754.244260
concave, 3, 25, 15.930337
concave, 3, 50, 29.293553
concave, 3, 75, 47.825967
concave, 3, 100, 64.612991
concave, 3, 150, 121.318266
concave, 3, 200, 137.052202
concave, 3, 250, 188.903414
concave, 3, 300, 213.362033
concave, 4, 25, 3.956267
concave, 4, 50, 11.250072
concave, 4, 75, 12.775533
concave, 4, 100, 19.352447
concave, 4, 150, 19.699545
concave, 4, 200, 24.705402
concave, 4, 250, 29.605444
concave, 4, 300, 32.315550
concave, 5, 25, 3.456676
concave, 5, 50, 3.702722
concave, 5, 75, 7.196503
concave, 5, 100, 6.781131
concave, 5, 150, 5.332681
concave, 5, 200, 5.395598
concave, 5, 250, 5.518928
concave, 5, 300, 8.719036
concave, 6, 25, 2.161526
concave, 6, 50, 3.953914
concave, 6, 75, 3.433721
concave, 6, 100, 2.881974
concave, 6, 150, 3.517826
concave, 6, 200, 5.194921
concave, 6, 250, 5.126898
concave, 6, 300, 4.616739
concave, 7, 25, 0.343088
concave, 7, 50, 85.964248
concave, 7, 75, 2.616885
concave, 7, 100, 2.587240
concave, 7, 150, 3.456420
concave, 7, 200, 3.557436
concave, 7, 250, 4.229464
concave, 7, 300, 0.969087
concave, 8, 25, 0.023621
concave, 8, 50, 1.774949
concave, 8, 75, 2.714124
concave, 8, 100, 1815.970921
concave, 8, 150, 0.969087
concave, 8, 200, 4.269720
concave, 8, 250, 1.826234
concave, 8, 300, 0.969087
concave, 9, 25, 0.439412
concave, 9, 50, 1.885357
concave, 9, 75, 3.256740
concave, 9, 100, 3.049415
concave, 9, 150, 2.614641
concave, 9, 200, 0.772880
concave, 9, 250, 0.933362
concave, 9, 300, 0.834519
concave, 10, 25, 0.194531
concave, 10, 50, 780.722951
concave, 10, 75, 1.627449
concave, 10, 100, 814.146993
concave, 10, 150, 2.506432
concave, 10, 200, 2.547131
concave, 10, 250, 0.386164
concave, 10, 300, 0.646699
degenerate, 2, 25, 260.771238
degenerate, 2, 50, 5519.099238
degenerate, 2, 75, 61134.950628
degenerate, 2, 100, 127165.811255
degenerate, 2, 150, 56297.723789
degenerate, 2, 200, 259969.805572
degenerate, 2, 250, 32476.409884
degenerate, 2, 300, 48754.244260
degenerate, 3, 25, 3784.814149
degenerate, 3, 50, 3693.887345
