geometry, dimension, cardinality, alpha
linear, 2, 25, 4.979341
linear, 2, 50, 1.009756
linear, 2, 75, 5.526395
linear, 2, 100, 13.524156
linear, 2, 150, 0.188005
linear, 2, 200, 2.272100
linear, 2, 250, 5.570678
linear, 2, 300, 12.017824
linear, 3, 25, 0.675184
linear, 3, 50, 2.545298
linear, 3, 75, 2.046694
linear, 3, 100, 2.677846
linear, 3, 150, 2.436086
linear, 3, 200, 2.554273
linear, 3, 250, 3.275141
linear, 3, 300, 3.076479
linear, 4, 25, 1.512726
linear, 4, 50, 1.513029
linear, 4, 75, 1.854805
linear, 4, 100, 1.959717
linear, 4, 150, 1.880433
linear, 4, 200, 2.137081
linear, 4, 250, 2.183695
linear, 4, 300, 2.378384
linear, 5, 25, 1.406741
linear, 5, 50, 1.512929
linear, 5, 75, 1.475047
linear, 5, 100, 1.659867
linear, 5, 150, 1.704425
linear, 5, 200, 1.704425
linear, 5, 250, 1.804284
linear, 5, 300, 1.811518
linear, 6, 25, 1.310024
linear, 6, 50, 1.368100
linear, 6, 75, 1.322340
linear, 6, 100, 1.469400
linear, 6, 150, 1.512984
linear, 6, 200, 1.483491
linear, 6, 250, 1.512929
linear, 6, 300, 1.589811
linear, 7, 25, 1.244124
linear, 7, 50, 1.308598
linear, 7, 75, 1.379533
linear, 7, 100, 1.081442
linear, 7, 150, 1.075376
linear, 7, 200, 1.088604
linear, 7, 250, 1.342639
linear, 7, 300, 1.311303
linear, 8, 25, 1.364539
linear, 8, 50, 1.257829
linear, 8, 75, 1.234622
linear, 8, 100, 1.121629
linear, 8, 150, 0.970668
linear, 8, 200, 0.739637
linear, 8, 250, 1.242463
linear, 8, 300, 1.356155
linear, 9, 25, 1.347427
linear, 9, 50, 1.139916
linear, 9, 75, 1.129862
linear, 9, 100, 1.170457
linear, 9, 150, 1.084676
linear, 9, 200, 1.105524
linear, 9, 250, 1.306207
linear, 9, 300, 1.287031
linear, 10, 25, 1.139698
linear, 10, 50, 1.265909
linear, 10, 75, 1.203790
linear, 10, 100, 1.253788
linear, 10, 150, 1.195865
linear, 10, 200, 1.234718
linear, 10, 250, 1.142209
linear, 10, 300, 1.260736
concave, 2, 25, 7.567526
concave, 2, 50, 16.482390
concave, 2, 75, 20.526742
concave, 2, 100, 21.864519
concave, 2, 150, 31.084934
concave, 2, 200, 47.321117
concave, 2, 250, 59.607044
concave, 2, 300, 64.236477
concave, 3, 25, 0.049895
concave, 3, 50, 1.759717
concave, 3, 75, 1.112415
concave, 3, 100, 1.938979
concave, 3, 150, 2.629560
concave, 3, 200, 2.509029
concave, 3, 250, 2.737959
concave, 3, 300, 2.958103
concave, 4, 25, 0.283619
concave, 4, 50, 0.077977
concave, 4, 75, 0.709977
concave, 4, 100, 0.158596
concave, 4, 150, 0.126907
concave, 4, 200, 1.150475
concave, 4, 250, 0.509278
concave, 4, 300, 1.016510
concave, 5, 25, 0.073900
concave, 5, 50, 0.185596
concave, 5, 75, 0.011513
concave, 5, 100, 0.009114
concave, 5, 150, 0.000982
concave, 5, 200, 0.107190
concave, 5, 250, 0.289418
concave, 5, 300, 0.568165
concave, 6, 25, 0.002383
concave, 6, 50, 0.003360
concave, 6, 75, 0.000060
concave, 6, 100, 0.006141
concave, 6, 150, 0.403699
concave, 6, 200, 0.429284
concave, 6, 250, 0.318883
concave, 6, 300, 0.061994
concave, 7, 25, 0.000735
concave, 7, 50, 0.008271
concave, 7, 75, 0.002810
concave, 7, 100, 0.000747
concave, 7, 150, 0.000603
concave, 7, 200, 0.002784
concave, 7, 250, 0.059828
concave, 7, 300, 0.019509
concave, 8, 25, 0.179869
concave, 8, 50, 0.114688
concave, 8, 75, 0.004330
concave, 8, 100, 0.002191
concave, 8, 150, 0.403326
concave, 8, 200, 0.415775
concave, 8, 250, 0.412022
concave, 8, 300, 0.426452
concave, 9, 25, 0.133168
concave, 9, 50, 0.001567
concave, 9, 75, 0.003776
concave, 9, 100, 0.048652
concave, 9, 150, 0.048727
concave, 9, 200, 0.009655
concave, 9, 250, 0.058346
concave, 9, 300, 0.629779
concave, 10, 25, 0.027508
concave, 10, 50, 0.008402
concave, 10, 75, 0.003029
concave, 10, 100, 0.001416
concave, 10, 150, 0.000001
concave, 10, 200, 0.478479
concave, 10, 250, 0.346129
concave, 10, 300, 0.416252
degenerate, 2, 25, 7.567526
degenerate, 2, 50, 16.482390
degenerate, 2, 75, 20.526742
degenerate, 2, 100, 21.864519
degenerate, 2, 150, 31.115391
degenerate, 2, 200, 47.389107
degenerate, 2, 250, 59.501952
degenerate, 2, 300, 64.252019
degenerate, 3, 25, 6.828494
degenerate, 3, 50, 12.532593
degenerate, 3, 75, 17.545809
degenerate, 3, 100, 21.539709
degenerate, 3, 150, 30.295810
degenerate, 3, 200, 28.132880
degenerate, 3, 250, 47.193611
degenerate, 3, 300, 52.737336
degenerate, 4, 25, 2.712160
degenerate, 4, 50, 10.551147
degenerate, 4, 75, 15.387924
degenerate, 4, 100, 18.675551
degenerate, 4, 150, 27.072833
degenerate, 4, 200, 32.056608
degenerate, 4, 250, 41.193105
degenerate, 4, 300, 44.772354
degenerate, 5, 25, 5.314820
degenerate, 5, 50, 10.664969
degenerate, 5, 75, 11.794025
degenerate, 5, 100, 16.346226
degenerate, 5, 150, 20.970417
degenerate, 5, 200, 30.618048
degenerate, 5, 250, 12.160347
degenerate, 5, 300, 35.723446
degenerate, 6, 25, 5.684687
degenerate, 6, 50, 11.346047
degenerate, 6, 75, 14.384120
degenerate, 6, 100, 18.578677
degenerate, 6, 150, 23.204920
degenerate, 6, 200, 30.304652
degenerate, 6, 250, 37.561624
degenerate, 6, 300, 21.514013
degenerate, 7, 25, 8.069279
degenerate, 7, 50, 9.973736
degenerate, 7, 75, 0.371517
degenerate, 7, 100, 16.957784
degenerate, 7, 150, 25.330920
degenerate, 7, 200, 3.127426
degenerate, 7, 250, 17.615055
degenerate, 7, 300, 5.497185
degenerate, 8, 25, 4.992653
degenerate, 8, 50, 9.636709
degenerate, 8, 75, 12.491300
degenerate, 8, 100, 0.969087
degenerate, 8, 150, 25.833879
degenerate, 8, 200, 25.977545
degenerate, 8, 250, 21.526974
degenerate, 8, 300, 17.448613
degenerate, 9, 25, 6.130038
degenerate, 9, 50, 10.384861
degenerate, 9, 75, 1.704425
degenerate, 9, 100, 23.557899
degenerate, 9, 150, 26.419566
degenerate, 9, 200, 26.533829
degenerate, 9, 250, 2.802497
degenerate, 9, 300, 23.630982
degenerate, 10, 25, 6.124596
degenerate, 10, 50, 11.560977
degenerate, 10, 75, 16.337190
degenerate, 10, 100, 16.543239
degenerate, 10, 150, 27.923618
degenerate, 10, 200, 2.105838
degenerate, 10, 250, 5.562965
degenerate, 10, 300, 33.453765
disconnected, 2, 25, 14.612196
disconnected, 2, 50, 31.327657
disconnected, 2, 75, 7.909192
disconnected, 2, 100, 42.819615
disconnected, 2, 150, 29.927874
disconnected, 2, 200, 39.500953
disconnected, 2, 250, 21.646787
disconnected, 2, 300, 52.407468
disconnected, 3, 25, 0.062567
disconnected, 3, 50, 1.253902
disconnected, 3, 75, 0.026422
disconnected, 3, 100, 2.096632
disconnected, 3, 150, 4.470885
disconnected, 3, 200, 0.553053
disconnected, 3, 250, 0.498665
disconnected, 3, 300, 0.520893
disconnected, 4, 25, 0.477388
disconnected, 4, 50, 0.788403
disconnected, 4, 75, 1.423457
disconnected, 4, 100, 1.357154
disconnected, 4, 150, 1.416520
disconnected, 4, 200, 1.981932
disconnected, 4, 250, 2.324604
disconnected, 4, 300, 1.974106
disconnected, 5, 25, 0.194228
disconnected, 5, 50, 0.271060
disconnected, 5, 75, 0.266395
disconnected, 5, 100, 0.865869
disconnected, 5, 150, 1.106807
disconnected, 5, 200, 1.313110
disconnected, 5, 250, 1.513263
disconnected, 5, 300, 1.163175
disconnected, 6, 25, 1.715550
disconnected, 6, 50, 1.695431
disconnected, 6, 75, 0.669189
disconnected, 6, 100, 0.731816
disconnected, 6, 150, 0.708228
disconnected, 6, 200, 0.834725
disconnected, 6, 250, 0.834831
disconnected, 6, 300, 0.927360
disconnected, 7, 25, 1.666362
disconnected, 7, 50, 1.658749
disconnected, 7, 75, 1.560665
disconnected, 7, 100, 1.562810
disconnected, 7, 150, 1.512947
disconnected, 7, 200, 1.447795
disconnected, 7, 250, 1.370646
disconnected, 7, 300, 1.379704
disconnected, 8, 25, 1.740936
disconnected, 8, 50, 1.757966
disconnected, 8, 75, 1.553454
disconnected, 8, 100, 1.550680
disconnected, 8, 150, 1.519095
disconnected, 8, 200, 1.506000
disconnected, 8, 250, 1.509202
disconnected, 8, 300, 1.512929
disconnected, 9, 25, 1.000000
disconnected, 9, 50, 1.000000
disconnected, 9, 75, 1.000000
disconnected, 9, 100, 1.000000
disconnected, 9, 150, 1.000000
disconnected, 9, 200, 1.000000
disconnected, 9, 250, 1.000000
