geometry, dimension, cardinality, alpha
linear, 2, 25, 43.573337
linear, 2, 50, 48.457325
linear, 2, 75, 194.010849
linear, 2, 100, 145.630866
linear, 2, 150, 2051.544930
linear, 2, 200, 213.205811
linear, 2, 250, 2019.441002
linear, 2, 300, 465.982743
linear, 3, 25, 14.530246
linear, 3, 50, 15.578498
linear, 3, 75, 19.991075
linear, 3, 100, 28.899925
linear, 3, 150, 33.977160
linear, 3, 200, 29.915577
linear, 3, 250, 41.484850
linear, 3, 300, 35.545899
linear, 4, 25, 7.674879
linear, 4, 50, 12.396439
linear, 4, 75, 13.037759
linear, 4, 100, 20.256888
linear, 4, 150, 16.822032
linear, 4, 200, 23.787170
linear, 4, 250, 22.017505
linear, 4, 300, 25.767508
linear, 5, 25, 6.787785
linear, 5, 50, 10.096991
linear, 5, 75, 25.602562
linear, 5, 100, 34.822130
linear, 5, 150, 16.124843
linear, 5, 200, 19.068631
linear, 5, 250, 21.212577
linear, 5, 300, 25.456915
linear, 6, 25, 6.659789
linear, 6, 50, 25.863490
linear, 6, 75, 13.449396
linear, 6, 100, 12.894590
linear, 6, 150, 13.408506
linear, 6, 200, 14.926794
linear, 6, 250, 20.035751
linear, 6, 300, 18.722978
linear, 7, 25, 16.501741
linear, 7, 50, 12.633253
linear, 7, 75, 10.162393
linear, 7, 100, 15.897257
linear, 7, 150, 14.416112
linear, 7, 200, 12.834816
linear, 7, 250, 14.841893
linear, 7, 300, 163.601281
linear, 8, 25, 17.041314
linear, 8, 50, 7.841215
linear, 8, 75, 8.575566
linear, 8, 100, 12.013281
linear, 8, 150, 169.182889
linear, 8, 200, 129.606779
linear, 8, 250, 135.556522
linear, 8, 300, 58.716199
linear, 9, 25, 0.256298
linear, 9, 50, 0.759765
linear, 9, 75, 0.000001
linear, 9, 100, 0.623407
linear, 9, 150, 0.000001
linear, 9, 200, 139.256068
linear, 9, 250, 77.409756
linear, 9, 300, 14.018374
linear, 10, 25, 0.278659
linear, 10, 50, 0.758398
linear, 10, 75, 0.284623
linear, 10, 100, 0.000001
linear, 10, 150, 0.933261
linear, 10, 200, 132.817657
linear, 10, 250, 24.437939
linear, 10, 300, 10.041742
concave, 2, 25, 260.144048
concave, 2, 50, 782.522530
concave, 2, 75, 420.279126
concave, 2, 100, 97.341430
concave, 2, 150, 1884.409294
concave, 2, 200, 632.515826
concave, 2, 250, 912.928149
concave, 2, 300, 1992.285608
concave, 3, 25, 4.012826
concave, 3, 50, 6.561383
concave, 3, 75, 8.312180
concave, 3, 100, 7.442233
concave, 3, 150, 10.065636
concave, 3, 200, 13.696378
concave, 3, 250, 13.548952
concave, 3, 300, 17.296986
concave, 4, 25, 2.463469
concave, 4, 50, 3.491539
concave, 4, 75, 3.508414
concave, 4, 100, 3.929629
concave, 4, 150, 4.546594
concave, 4, 200, 4.919701
concave, 4, 250, 4.743683
concave, 4, 300, 5.613358
concave, 5, 25, 1.855516
concave, 5, 50, 2.673847
concave, 5, 75, 2.469243
concave, 5, 100, 2.748828
concave, 5, 150, 2.913883
concave, 5, 200, 3.014037
concave, 5, 250, 3.062406
concave, 5, 300, 3.421518
concave, 6, 25, 0.731380
concave, 6, 50, 2.058554
concave, 6, 75, 2.223906
concave, 6, 100, 2.428671
concave, 6, 150, 2.534350
concave, 6, 200, 2.372022
concave, 6, 250, 2.531251
concave, 6, 300, 2.420168
concave, 7, 25, 0.689678
concave, 7, 50, 1.911212
concave, 7, 75, 0.969087
concave, 7, 100, 2.149047
concave, 7, 150, 2.052173
concave, 7, 200, 2.163792
concave, 7, 250, 0.969087
concave, 7, 300, 0.947957
concave, 8, 25, 0.006788
concave, 8, 50, 0.194806
concave, 8, 75, 0.969087
concave, 8, 100, 1.046914
concave, 8, 150, 1.872860
concave, 8, 200, 1.349811
concave, 8, 250, 1.958038
concave, 8, 300, 0.933269
concave, 9, 25, 0.209512
concave, 9, 50, 0.968071
concave, 9, 75, 2.136672
concave, 9, 100, 1.568241
concave, 9, 150, 1.968620
concave, 9, 200, 0.802213
concave, 9, 250, 0.800646
concave, 9, 300, 0.880801
concave, 10, 25, 0.524505
concave, 10, 50, 1.230668
concave, 10, 75, 1.291339
concave, 10, 100, 1.795658
concave, 10, 150, 0.969087
