geometry, dimension, cardinality, alpha
linear, 2, 25, 0.714647
linear, 2, 50, 0.772249
linear, 2, 75, 0.362465
linear, 2, 100, 0.969087
linear, 2, 150, 0.739337
linear, 2, 200, 0.838583
linear, 2, 250, 1.043678
linear, 2, 300, 0.348549
linear, 3, 25, 0.476516
linear, 3, 50, 0.954649
linear, 3, 75, 0.426452
linear, 3, 100, 1.011267
linear, 3, 150, 0.639224
linear, 3, 200, 0.742110
linear, 3, 250, 0.939743
linear, 3, 300, 0.853261
linear, 4, 25, 0.917585
linear, 4, 50, 0.968829
linear, 4, 75, 0.881644
linear, 4, 100, 0.933261
linear, 4, 150, 0.968431
linear, 4, 200, 0.960032
linear, 4, 250, 0.969087
linear, 4, 300, 0.960919
linear, 5, 25, 0.925811
linear, 5, 50, 0.880528
linear, 5, 75, 0.932022
linear, 5, 100, 0.953606
linear, 5, 150, 0.948528
linear, 5, 200, 0.969703
linear, 5, 250, 0.968782
linear, 5, 300, 0.968783
linear, 6, 25, 0.937201
linear, 6, 50, 0.866328
linear, 6, 75, 0.922264
linear, 6, 100, 0.903429
linear, 6, 150, 0.924042
linear, 6, 200, 0.909112
linear, 6, 250, 0.933163
linear, 6, 300, 1.001681
linear, 7, 25, 0.782211
linear, 7, 50, 0.969101
linear, 7, 75, 0.856904
linear, 7, 100, 0.885388
linear, 7, 150, 0.799091
linear, 7, 200, 11.097852
linear, 7, 250, 0.835248
linear, 7, 300, 11.141659
linear, 8, 25, 0.785427
linear, 8, 50, 0.853423
linear, 8, 75, 0.866811
linear, 8, 100, 0.877471
linear, 8, 150, 8.867798
linear, 8, 200, 17.679432
linear, 8, 250, 8.818590
linear, 8, 300, 8.792289
linear, 9, 25, 0.960662
linear, 9, 50, 0.879380
linear, 9, 75, 0.886312
linear, 9, 100, 0.898907
linear, 9, 150, 0.889429
linear, 9, 200, 0.950230
linear, 9, 250, 7.662538
linear, 9, 300, 0.944368
linear, 10, 25, 0.875296
linear, 10, 50, 0.949915
linear, 10, 75, 0.951004
linear, 10, 100, 0.942946
linear, 10, 150, 0.949377
linear, 10, 200, 0.960565
linear, 10, 250, 0.952634
linear, 10, 300, 0.959647
concave, 2, 25, 0.610285
concave, 2, 50, 0.404102
concave, 2, 75, 1.099121
concave, 2, 100, 1.099121
concave, 2, 150, 0.404102
concave, 2, 200, 0.610285
concave, 2, 250, 1.100803
concave, 2, 300, 1.099767
concave, 3, 25, 0.535623
concave, 3, 50, 0.737864
concave, 3, 75, 0.532648
concave, 3, 100, 0.529316
concave, 3, 150, 0.914623
concave, 3, 200, 0.933204
concave, 3, 250, 0.936773
concave, 3, 300, 0.933272
concave, 4, 25, 0.372251
concave, 4, 50, 0.310079
concave, 4, 75, 0.355743
concave, 4, 100, 0.460399
concave, 4, 150, 0.404102
concave, 4, 200, 0.293782
concave, 4, 250, 0.657749
concave, 4, 300, 0.738037
concave, 5, 25, 0.281084
concave, 5, 50, 0.257739
concave, 5, 75, 0.086855
concave, 5, 100, 0.099570
concave, 5, 150, 0.149846
concave, 5, 200, 0.358637
concave, 5, 250, 0.563479
concave, 5, 300, 0.651487
concave, 6, 25, 0.179608
concave, 6, 50, 0.242287
concave, 6, 75, 0.270596
concave, 6, 100, 0.096702
concave, 6, 150, 0.246177
concave, 6, 200, 0.314190
concave, 6, 250, 0.532771
concave, 6, 300, 0.090553
concave, 7, 25, 0.169996
concave, 7, 50, 0.249611
concave, 7, 75, 0.029465
concave, 7, 100, 0.180454
concave, 7, 150, 0.093869
concave, 7, 200, 0.348164
concave, 7, 250, 0.305520
concave, 7, 300, 0.093871
concave, 8, 25, 0.486400
concave, 8, 50, 0.480268
concave, 8, 75, 0.010082
concave, 8, 100, 0.002957
concave, 8, 150, 0.000213
concave, 8, 200, 0.572267
concave, 8, 250, 0.601149
concave, 8, 300, 0.597247
concave, 9, 25, 0.401068
concave, 9, 50, 0.059937
concave, 9, 75, 0.103384
concave, 9, 100, 0.372560
concave, 9, 150, 0.371546
concave, 9, 200, 0.227001
concave, 9, 250, 0.371425
concave, 9, 300, 0.282843
concave, 10, 25, 4.717107
concave, 10, 50, 10.562276
concave, 10, 75, 0.203488
concave, 10, 100, 0.035940
concave, 10, 150, 0.000298
concave, 10, 200, 0.556311
concave, 10, 250, 0.044807
concave, 10, 300, 0.524363
degenerate, 2, 25, 0.610285
degenerate, 2, 50, 0.404102
degenerate, 2, 75, 1.099121
degenerate, 2, 100, 1.099121
degenerate, 2, 150, 0.404102
degenerate, 2, 200, 0.610285
degenerate, 2, 250, 1.100996
degenerate, 2, 300, 1.096237
degenerate, 3, 25, 0.842219
degenerate, 3, 50, 0.870867
degenerate, 3, 75, 0.875584
degenerate, 3, 100, 0.875833
degenerate, 3, 150, 0.870337
degenerate, 3, 200, 0.849640
degenerate, 3, 250, 0.849640
degenerate, 3, 300, 0.875833
degenerate, 4, 25, 0.738468
degenerate, 4, 50, 0.738468
degenerate, 4, 75, 0.730829
degenerate, 4, 100, 0.772728
degenerate, 4, 150, 0.772728
degenerate, 4, 200, 0.630211
