geometry, dimension, cardinality, alpha
linear, 2, 25, 4.498258
linear, 2, 50, 3.462799
linear, 2, 75, 5.319050
linear, 2, 100, 1.534073
linear, 2, 150, 2.020970
linear, 2, 200, 3.041952
linear, 2, 250, 5.342725
linear, 2, 300, 1.359848
linear, 3, 25, 4.874540
linear, 3, 50, 9.148786
linear, 3, 75, 6.243802
linear, 3, 100, 3.429336
linear, 3, 150, 3.552912
linear, 3, 200, 3.552226
linear, 3, 250, 4.087754
linear, 3, 300, 3.519024
linear, 4, 25, 5.640858
linear, 4, 50, 4.017107
linear, 4, 75, 5.570248
linear, 4, 100, 6.217993
linear, 4, 150, 5.238853
linear, 4, 200, 4.388844
linear, 4, 250, 5.201828
linear, 4, 300, 4.413802
linear, 5, 25, 4.945769
linear, 5, 50, 7.540543
linear, 5, 75, 6.993873
linear, 5, 100, 6.977554
linear, 5, 150, 5.595471
linear, 5, 200, 6.809112
linear, 5, 250, 7.071015
linear, 5, 300, 6.247799
linear, 6, 25, 6.829244
linear, 6, 50, 7.927517
linear, 6, 75, 6.294071
linear, 6, 100, 6.235919
linear, 6, 150, 8.750632
linear, 6, 200, 6.916716
linear, 6, 250, 7.170450
linear, 6, 300, 7.809714
linear, 7, 25, 8.395994
linear, 7, 50, 9.094726
linear, 7, 75, 8.692305
linear, 7, 100, 6.921019
linear, 7, 150, 7.166469
linear, 7, 200, 6.771363
linear, 7, 250, 7.630364
linear, 7, 300, 8.148450
linear, 8, 25, 8.175916
linear, 8, 50, 7.242977
linear, 8, 75, 8.964829
linear, 8, 100, 8.270778
linear, 8, 150, 6.645204
linear, 8, 200, 7.738458
linear, 8, 250, 6.810545
linear, 8, 300, 10.610856
linear, 9, 25, 4.549623
linear, 9, 50, 7.857605
linear, 9, 75, 9.183236
linear, 9, 100, 8.864373
linear, 9, 150, 7.438581
linear, 9, 200, 10.454464
linear, 9, 250, 8.959157
linear, 9, 300, 6.179435
linear, 10, 25, 7.083000
linear, 10, 50, 8.361629
linear, 10, 75, 8.939939
linear, 10, 100, 8.980209
linear, 10, 150, 7.031093
linear, 10, 200, 7.749334
linear, 10, 250, 8.389114
linear, 10, 300, 6.825938
concave, 2, 25, 3.709277
concave, 2, 50, 5.803053
concave, 2, 75, 4.366836
concave, 2, 100, 4.673274
concave, 2, 150, 3.409371
concave, 2, 200, 3.923970
concave, 2, 250, 5.220784
concave, 2, 300, 3.522992
concave, 3, 25, 2.112307
concave, 3, 50, 2.187153
concave, 3, 75, 2.261207
concave, 3, 100, 2.313579
concave, 3, 150, 3.038739
concave, 3, 200, 2.258509
concave, 3, 250, 2.546881
concave, 3, 300, 4.082688
concave, 4, 25, 1.023336
concave, 4, 50, 1.572007
concave, 4, 75, 1.876446
concave, 4, 100, 2.117700
concave, 4, 150, 2.112086
concave, 4, 200, 1.753485
concave, 4, 250, 1.856167
concave, 4, 300, 2.092362
concave, 5, 25, 1.130573
concave, 5, 50, 1.378329
concave, 5, 75, 0.727901
concave, 5, 100, 1.173680
concave, 5, 150, 1.626420
concave, 5, 200, 2.073014
concave, 5, 250, 2.177830
concave, 5, 300, 2.508626
concave, 6, 25, 0.831360
concave, 6, 50, 3.186588
concave, 6, 75, 1.117299
concave, 6, 100, 1.622703
concave, 6, 150, 2.379010
concave, 6, 200, 2.324955
concave, 6, 250, 2.441224
concave, 6, 300, 2.007052
concave, 7, 25, 0.044159
concave, 7, 50, 0.367856
concave, 7, 75, 0.786234
concave, 7, 100, 0.783361
concave, 7, 150, 0.738468
concave, 7, 200, 2.056619
concave, 7, 250, 0.581593
concave, 7, 300, 2.317388
concave, 8, 25, 0.368973
concave, 8, 50, 0.435176
concave, 8, 75, 2.105545
concave, 8, 100, 0.726174
concave, 8, 150, 1.408532
concave, 8, 200, 1.208880
concave, 8, 250, 1.450298
concave, 8, 300, 1.589811
concave, 9, 25, 0.388378
concave, 9, 50, 0.418307
concave, 9, 75, 1.959333
concave, 9, 100, 1.944727
concave, 9, 150, 1.526402
concave, 9, 200, 1.965516
concave, 9, 250, 1.962416
concave, 9, 300, 2.914108
concave, 10, 25, 0.689082
concave, 10, 50, 0.662011
concave, 10, 75, 0.608818
concave, 10, 100, 0.645926
concave, 10, 150, 1.038351
concave, 10, 200, 1.287969
concave, 10, 250, 1.411315
concave, 10, 300, 1.642824
degenerate, 2, 25, 2.685459
