geometry, dimension, cardinality, alpha
linear, 2, 25, 7022.269394
linear, 2, 50, 27155.030446
linear, 2, 75, 56681.902650
linear, 2, 100, 97671.384771
linear, 2, 150, 241338.018786
linear, 2, 200, 411111.139752
linear, 2, 250, 585437.224774
linear, 2, 300, 882780.762836
linear, 3, 25, 508.210197
linear, 3, 50, 1157.057837
linear, 3, 75, 1846.857567
linear, 3, 100, 2441.829931
linear, 3, 150, 4031.949224
linear, 3, 200, 5110.631771
linear, 3, 250, 6832.932127
linear, 3, 300, 8028.059336
linear, 4, 25, 192.034210
linear, 4, 50, 419.987563
linear, 4, 75, 570.242592
linear, 4, 100, 758.074562
linear, 4, 150, 1102.235623
linear, 4, 200, 1371.588008
linear, 4, 250, 1557.639262
linear, 4, 300, 1713.215740
linear, 5, 25, 117.033534
linear, 5, 50, 211.340237
linear, 5, 75, 318.203356
linear, 5, 100, 388.886957
linear, 5, 150, 540.114630
linear, 5, 200, 680.005272
linear, 5, 250, 742.195065
linear, 5, 300, 776.923507
linear, 6, 25, 88.127312
linear, 6, 50, 166.436774
linear, 6, 75, 217.047670
linear, 6, 100, 275.943241
linear, 6, 150, 357.676366
linear, 6, 200, 380.548705
linear, 6, 250, 417.021704
linear, 6, 300, 483.502241
linear, 7, 25, 58.127467
linear, 7, 50, 116.237788
linear, 7, 75, 199.059342
linear, 7, 100, 226.216022
linear, 7, 150, 236.063632
linear, 7, 200, 251.985697
linear, 7, 250, 271.402253
linear, 7, 300, 313.408763
linear, 8, 25, 39.386733
linear, 8, 50, 134.585533
linear, 8, 75, 149.993990
linear, 8, 100, 152.312725
linear, 8, 150, 164.354529
linear, 8, 200, 167.035575
linear, 8, 250, 200.273694
linear, 8, 300, 271.859652
linear, 9, 25, 61.976980
linear, 9, 50, 101.675058
linear, 9, 75, 114.712113
linear, 9, 100, 118.748606
linear, 9, 150, 146.233392
linear, 9, 200, 199.561581
linear, 9, 250, 229.539591
linear, 9, 300, 235.806323
linear, 10, 25, 72.172373
linear, 10, 50, 85.590196
linear, 10, 75, 88.500893
linear, 10, 100, 94.269315
linear, 10, 150, 96.386726
linear, 10, 200, 115.073575
linear, 10, 250, 178.127708
linear, 10, 300, 185.391573
concave, 2, 25, 5871.461491
concave, 2, 50, 22627.572893
concave, 2, 75, 43585.373447
concave, 2, 100, 76063.912134
concave, 2, 150, 184531.174235
concave, 2, 200, 318730.852316
concave, 2, 250, 443482.354836
concave, 2, 300, 666157.081809
concave, 3, 25, 309.940049
concave, 3, 50, 724.578073
concave, 3, 75, 1133.917057
concave, 3, 100, 1440.991949
concave, 3, 150, 2227.006538
concave, 3, 200, 3037.133250
concave, 3, 250, 4043.513926
concave, 3, 300, 4977.129362
concave, 4, 25, 114.271075
concave, 4, 50, 208.443798
concave, 4, 75, 292.459408
concave, 4, 100, 378.058138
concave, 4, 150, 516.852822
concave, 4, 200, 651.632833
concave, 4, 250, 752.293588
concave, 4, 300, 846.790859
concave, 5, 25, 69.032724
concave, 5, 50, 113.876052
concave, 5, 75, 149.647640
concave, 5, 100, 173.279290
concave, 5, 150, 228.964427
concave, 5, 200, 279.490894
concave, 5, 250, 309.575456
concave, 5, 300, 354.859933
concave, 6, 25, 50.172007
concave, 6, 50, 73.902813
concave, 6, 75, 93.682854
concave, 6, 100, 111.985345
concave, 6, 150, 150.718451
concave, 6, 200, 169.724878
concave, 6, 250, 205.634162
concave, 6, 300, 206.966590
concave, 7, 25, 39.113678
concave, 7, 50, 60.363774
concave, 7, 75, 70.624716
concave, 7, 100, 94.805275
concave, 7, 150, 114.297617
concave, 7, 200, 123.698050
concave, 7, 250, 195.569490
concave, 7, 300, 199.566148
concave, 8, 25, 35.191604
concave, 8, 50, 57.683801
concave, 8, 75, 68.298674
concave, 8, 100, 69.103046
concave, 8, 150, 118.341376
concave, 8, 200, 119.705831
concave, 8, 250, 125.373352
concave, 8, 300, 126.251002
concave, 9, 25, 31.450771
concave, 9, 50, 49.947056
concave, 9, 75, 53.091138
concave, 9, 100, 85.838544
concave, 9, 150, 90.642537
concave, 9, 200, 93.937714
concave, 9, 250, 95.446670
concave, 9, 300, 98.676680
concave, 10, 25, 33.248859
concave, 10, 50, 39.579703
concave, 10, 75, 41.070819
concave, 10, 100, 42.026774
concave, 10, 150, 67.400536
concave, 10, 200, 68.371774
concave, 10, 250, 73.156144
concave, 10, 300, 79.166292
degenerate, 2, 25, 6005.862610
degenerate, 2, 50, 22987.665621
degenerate, 2, 75, 56015.701922
degenerate, 2, 100, 87947.103252
degenerate, 2, 150, 181799.292940
degenerate, 2, 200, 279671.636495
degenerate, 2, 250, 445466.125364
degenerate, 2, 300, 650825.936526
degenerate, 3, 25, 4430.811901
degenerate, 3, 50, 15724.645997
degenerate, 3, 75, 36147.672863
degenerate, 3, 100, 57974.003753
degenerate, 3, 150, 134659.869936
degenerate, 3, 200, 215957.893882
degenerate, 3, 250, 339623.892924
degenerate, 3, 300, 438446.039935
degenerate, 4, 25, 2812.383717
degenerate, 4, 50, 12887.168903
degenerate, 4, 75, 27506.324595
degenerate, 4, 100, 48972.539856
degenerate, 4, 150, 106046.606792
degenerate, 4, 200, 163077.367881
degenerate, 4, 250, 250944.405176
degenerate, 4, 300, 370854.803505
degenerate, 5, 25, 2650.068665
degenerate, 5, 50, 10990.820798
degenerate, 5, 75, 23067.038554
degenerate, 5, 100, 41052.550281
degenerate, 5, 150, 88590.063708
degenerate, 5, 200, 138067.488696
degenerate, 5, 250, 213444.902034
degenerate, 5, 300, 284705.269354
degenerate, 6, 25, 2044.369501
degenerate, 6, 50, 8813.510835
degenerate, 6, 75, 18968.357556
degenerate, 6, 100, 32882.434582
