geometry, dimension, cardinality, alpha
linear, 2, 25, 212.333608
linear, 2, 50, 403.352230
linear, 2, 75, 646.433309
linear, 2, 100, 827.598095
linear, 2, 150, 1341.438180
linear, 2, 200, 1593.157147
linear, 2, 250, 2065.484502
linear, 2, 300, 2731.386019
linear, 3, 25, 50.247645
linear, 3, 50, 82.917426
linear, 3, 75, 106.206724
linear, 3, 100, 127.931422
linear, 3, 150, 161.796305
linear, 3, 200, 183.743937
linear, 3, 250, 214.912097
linear, 3, 300, 232.657587
linear, 4, 25, 34.845058
linear, 4, 50, 49.292869
linear, 4, 75, 60.207787
linear, 4, 100, 66.537017
linear, 4, 150, 79.631551
linear, 4, 200, 93.069105
linear, 4, 250, 99.320897
linear, 4, 300, 108.555224
linear, 5, 25, 27.424697
linear, 5, 50, 35.571287
linear, 5, 75, 44.760811
linear, 5, 100, 49.169105
linear, 5, 150, 58.473700
linear, 5, 200, 63.850490
linear, 5, 250, 70.703741
linear, 5, 300, 72.597850
linear, 6, 25, 23.201416
linear, 6, 50, 31.463374
linear, 6, 75, 35.341873
linear, 6, 100, 41.368805
linear, 6, 150, 48.182244
linear, 6, 200, 50.235250
linear, 6, 250, 52.615486
linear, 6, 300, 56.987335
linear, 7, 25, 20.276926
linear, 7, 50, 26.713653
linear, 7, 75, 35.160295
linear, 7, 100, 37.380421
linear, 7, 150, 39.116084
linear, 7, 200, 41.650302
linear, 7, 250, 43.149109
linear, 7, 300, 46.321097
linear, 8, 25, 18.774115
linear, 8, 50, 28.910664
linear, 8, 75, 30.525235
linear, 8, 100, 31.090616
linear, 8, 150, 33.289470
linear, 8, 200, 35.175422
linear, 8, 250, 36.658915
linear, 8, 300, 41.746257
linear, 9, 25, 17.487396
linear, 9, 50, 24.390548
linear, 9, 75, 26.928228
linear, 9, 100, 27.453556
linear, 9, 150, 30.459368
linear, 9, 200, 34.689090
linear, 9, 250, 38.657238
linear, 9, 300, 39.635005
linear, 10, 25, 19.997862
linear, 10, 50, 23.379338
linear, 10, 75, 23.729116
linear, 10, 100, 24.957523
linear, 10, 150, 25.222736
linear, 10, 200, 27.104112
linear, 10, 250, 34.319777
linear, 10, 300, 35.518317
concave, 2, 25, 180.730653
concave, 2, 50, 348.251699
concave, 2, 75, 591.636441
concave, 2, 100, 749.901535
concave, 2, 150, 1139.504942
concave, 2, 200, 1463.253536
concave, 2, 250, 1955.821310
concave, 2, 300, 2180.651097
concave, 3, 25, 43.313552
concave, 3, 50, 62.925297
concave, 3, 75, 84.329098
concave, 3, 100, 95.255217
concave, 3, 150, 120.714078
concave, 3, 200, 145.597186
concave, 3, 250, 160.606368
concave, 3, 300, 171.116191
concave, 4, 25, 25.079818
concave, 4, 50, 34.978633
concave, 4, 75, 42.094062
concave, 4, 100, 48.402828
concave, 4, 150, 57.480277
concave, 4, 200, 62.878594
concave, 4, 250, 70.610421
concave, 4, 300, 74.528403
concave, 5, 25, 20.450663
concave, 5, 50, 26.091509
concave, 5, 75, 30.229107
concave, 5, 100, 32.341542
concave, 5, 150, 37.521623
concave, 5, 200, 42.079032
concave, 5, 250, 44.105617
concave, 5, 300, 48.110243
concave, 6, 25, 16.643994
concave, 6, 50, 21.577554
concave, 6, 75, 23.386298
concave, 6, 100, 27.351161
concave, 6, 150, 29.610558
concave, 6, 200, 32.827989
concave, 6, 250, 35.974188
concave, 6, 300, 37.160169
concave, 7, 25, 15.048466
concave, 7, 50, 18.951174
concave, 7, 75, 21.540722
concave, 7, 100, 23.760403
concave, 7, 150, 26.680550
concave, 7, 200, 29.045486
concave, 7, 250, 29.871627
concave, 7, 300, 32.096392
concave, 8, 25, 14.652130
concave, 8, 50, 17.462290
concave, 8, 75, 20.427019
concave, 8, 100, 21.345658
concave, 8, 150, 22.446922
concave, 8, 200, 24.137315
concave, 8, 250, 29.885396
concave, 8, 300, 29.608846
concave, 9, 25, 13.305881
concave, 9, 50, 16.987583
concave, 9, 75, 18.674350
concave, 9, 100, 19.432448
concave, 9, 150, 20.304599
concave, 9, 200, 21.937030
concave, 9, 250, 25.352087
concave, 9, 300, 26.032237
concave, 10, 25, 13.002549
concave, 10, 50, 15.461585
concave, 10, 75, 16.686276
concave, 10, 100, 16.920965
concave, 10, 150, 19.414626
concave, 10, 200, 22.109521
concave, 10, 250, 22.557747
concave, 10, 300, 22.938199
degenerate, 2, 25, 192.639702
degenerate, 2, 50, 367.519322
degenerate, 2, 75, 593.146914
degenerate, 2, 100, 758.830783
degenerate, 2, 150, 1139.503295
degenerate, 2, 200, 1463.252820
degenerate, 2, 250, 1955.816448
degenerate, 2, 300, 2174.625006
degenerate, 3, 25, 160.519561
degenerate, 3, 50, 328.527935
degenerate, 3, 75, 488.242017
degenerate, 3, 100, 666.691580
degenerate, 3, 150, 936.182979
degenerate, 3, 200, 1216.974881
degenerate, 3, 250, 1550.905613
degenerate, 3, 300, 1917.448663
degenerate, 4, 25, 143.933646
degenerate, 4, 50, 280.613481
degenerate, 4, 75, 421.462592
degenerate, 4, 100, 542.661817
degenerate, 4, 150, 814.405277
degenerate, 4, 200, 1099.661986
degenerate, 4, 250, 1336.248754
degenerate, 4, 300, 1651.561053
degenerate, 5, 25, 124.562017
degenerate, 5, 50, 255.362897
degenerate, 5, 75, 386.011891
degenerate, 5, 100, 523.653935
degenerate, 5, 150, 740.322208
degenerate, 5, 200, 1005.881399
degenerate, 5, 250, 1213.182566
degenerate, 5, 300, 1509.684781
degenerate, 6, 25, 116.706986
degenerate, 6, 50, 240.568636
degenerate, 6, 75, 338.627824
degenerate, 6, 100, 457.621720
degenerate, 6, 150, 733.537196
degenerate, 6, 200, 880.974387
degenerate, 6, 250, 1137.147821
degenerate, 6, 300, 1402.019985
degenerate, 7, 25, 110.560983
degenerate, 7, 50, 226.282577
degenerate, 7, 75, 322.998614
degenerate, 7, 100, 432.875141
degenerate, 7, 150, 653.419979
degenerate, 7, 200, 831.342414
degenerate, 7, 250, 1068.259319
degenerate, 7, 300, 1328.979321
degenerate, 8, 25, 103.381307
degenerate, 8, 50, 199.164543
degenerate, 8, 75, 317.639162
degenerate, 8, 100, 409.727900
degenerate, 8, 150, 617.315643
degenerate, 8, 200, 742.075770
degenerate, 8, 250, 1016.958648
degenerate, 8, 300, 1255.832909
degenerate, 9, 25, 93.500771
degenerate, 9, 50, 205.909492
degenerate, 9, 75, 306.357822
degenerate, 9, 100, 393.015372
degenerate, 9, 150, 590.506659
degenerate, 9, 200, 756.013327
degenerate, 9, 250, 967.869860
degenerate, 9, 300, 1188.575497
degenerate, 10, 25, 89.206551
degenerate, 10, 50, 182.641808
degenerate, 10, 75, 277.108326
degenerate, 10, 100, 373.178854
degenerate, 10, 150, 566.267751
degenerate, 10, 200, 721.043986
degenerate, 10, 250, 927.254384
degenerate, 10, 300, 1140.105489
disconnected, 2, 25, 365.049872
disconnected, 2, 50, 789.355980
disconnected, 2, 75, 1123.181656
disconnected, 2, 100, 1536.632277
disconnected, 2, 150, 2304.788103
disconnected, 2, 200, 3125.686345
disconnected, 2, 250, 3779.587053
disconnected, 2, 300, 4702.420411
disconnected, 3, 25, 63.591093
disconnected, 3, 50, 104.948588
disconnected, 3, 75, 138.029030
disconnected, 3, 100, 167.026679
disconnected, 3, 150, 215.871298
disconnected, 3, 200, 261.233951
disconnected, 3, 250, 288.939592
disconnected, 3, 300, 311.240469
disconnected, 4, 25, 30.413641
disconnected, 4, 50, 41.593139
disconnected, 4, 75, 59.367232
disconnected, 4, 100, 66.562517
disconnected, 4, 150, 82.976283
disconnected, 4, 200, 95.441947
disconnected, 4, 250, 104.057269
disconnected, 4, 300, 118.741634
disconnected, 5, 25, 21.379138
disconnected, 5, 50, 28.088588
disconnected, 5, 75, 32.529974
disconnected, 5, 100, 38.052602
disconnected, 5, 150, 46.781510
disconnected, 5, 200, 53.365931
disconnected, 5, 250, 61.724436
disconnected, 5, 300, 64.007298
disconnected, 6, 25, 13.696786
disconnected, 6, 50, 20.454506
disconnected, 6, 75, 24.668506
disconnected, 6, 100, 26.460978
disconnected, 6, 150, 32.512971
disconnected, 6, 200, 35.483391
disconnected, 6, 250, 39.323773
disconnected, 6, 300, 40.572059
disconnected, 7, 25, 10.497485
disconnected, 7, 50, 14.009802
disconnected, 7, 75, 16.596856
disconnected, 7, 100, 19.454070
disconnected, 7, 150, 24.133537
disconnected, 7, 200, 27.968418
disconnected, 7, 250, 28.608435
disconnected, 7, 300, 29.453812
disconnected, 8, 25, 9.079450
disconnected, 8, 50, 10.854524
disconnected, 8, 75, 12.589387
disconnected, 8, 100, 13.734921
disconnected, 8, 150, 19.523851
disconnected, 8, 200, 20.717709
disconnected, 8, 250, 21.397889
disconnected, 8, 300, 27.986884
disconnected, 9, 25, 27.986884
disconnected, 9, 50, 27.986884
disconnected, 9, 75, 27.986884
disconnected, 9, 100, 27.986884
disconnected, 9, 150, 27.986884
disconnected, 9, 200, 27.986884
disconnected, 9, 250, 27.986884
disconnected, 9, 300, 27.986884
disconnected, 10, 25, 7.197598
disconnected, 10, 50, 8.092855
disconnected, 10, 75, 8.788039
disconnected, 10, 100, 9.454608
disconnected, 10, 150, 10.270357
disconnected, 10, 200, 11.080252
disconnected, 10, 250, 11.365091
disconnected, 10, 300, 12.396432
mixed, 2, 25, 181.784120
mixed, 2, 50, 367.802672
mixed, 2, 75, 586.751910
mixed, 2, 100, 801.559180
mixed, 2, 150, 1133.735099
mixed, 2, 200, 1549.614461
mixed, 2, 250, 1872.122159
mixed, 2, 300, 2348.419419
mixed, 3, 25, 61.040529
mixed, 3, 50, 93.985446
mixed, 3, 75, 120.899162
mixed, 3, 100, 138.289001
mixed, 3, 150, 177.094773
mixed, 3, 200, 212.222137
mixed, 3, 250, 238.347027
mixed, 3, 300, 273.303596
mixed, 4, 25, 42.473330
mixed, 4, 50, 62.833131
mixed, 4, 75, 78.723523
mixed, 4, 100, 88.655220
mixed, 4, 150, 109.390625
mixed, 4, 200, 123.449315
mixed, 4, 250, 135.120681
mixed, 4, 300, 151.492634
mixed, 5, 25, 35.300725
mixed, 5, 50, 49.125795
mixed, 5, 75, 59.234762
mixed, 5, 100, 68.064075
mixed, 5, 150, 83.482897
mixed, 5, 200, 92.772146
mixed, 5, 250, 106.377865
mixed, 5, 300, 113.863604
mixed, 6, 25, 29.739748
mixed, 6, 50, 44.294369
mixed, 6, 75, 52.197641
mixed, 6, 100, 58.504132
mixed, 6, 150, 68.256424
mixed, 6, 200, 80.157937
mixed, 6, 250, 86.773246
mixed, 6, 300, 93.493669
mixed, 7, 25, 28.529100
mixed, 7, 50, 38.719040
mixed, 7, 75, 46.526073
mixed, 7, 100, 53.033656
mixed, 7, 150, 59.860031
mixed, 7, 200, 70.683194
mixed, 7, 250, 73.451192
mixed, 7, 300, 79.807357
mixed, 8, 25, 26.195413
mixed, 8, 50, 33.524662
mixed, 8, 75, 41.725927
mixed, 8, 100, 46.023842
mixed, 8, 150, 54.040109
mixed, 8, 200, 60.872975
mixed, 8, 250, 69.489907
mixed, 8, 300, 73.885633
mixed, 9, 25, 23.196101
mixed, 9, 50, 30.171912
mixed, 9, 75, 39.856023
mixed, 9, 100, 44.286553
mixed, 9, 150, 48.839366
mixed, 9, 200, 57.561590
mixed, 9, 250, 61.918451
mixed, 9, 300, 68.085943
mixed, 10, 25, 24.147526
mixed, 10, 50, 32.291821
mixed, 10, 75, 37.200686
mixed, 10, 100, 38.515133
mixed, 10, 150, 43.468521
mixed, 10, 200, 52.594545
mixed, 10, 250, 59.698147
mixed, 10, 300, 67.134764
disconnected, 2, 25, 228.690412
disconnected, 2, 50, 529.564860
disconnected, 2, 75, 761.863176
disconnected, 2, 100, 1034.044509
disconnected, 2, 150, 1562.011341
disconnected, 2, 200, 2005.091589
disconnected, 2, 250, 2581.224233
disconnected, 2, 300, 3045.419735
disconnected, 3, 25, 55.018491
disconnected, 3, 50, 83.891639
disconnected, 3, 75, 106.565971
disconnected, 3, 100, 128.748601
disconnected, 3, 150, 158.946311
disconnected, 3, 200, 196.243098
disconnected, 3, 250, 219.040746
disconnected, 3, 300, 252.984578
disconnected, 4, 25, 38.512097
disconnected, 4, 50, 55.517627
disconnected, 4, 75, 72.379811
disconnected, 4, 100, 81.294245
disconnected, 4, 150, 100.302173
disconnected, 4, 200, 111.518252
disconnected, 4, 250, 127.876113
disconnected, 4, 300, 137.192813
disconnected, 5, 25, 31.244084
disconnected, 5, 50, 45.443525
disconnected, 5, 75, 53.929343
disconnected, 5, 100, 64.906928
disconnected, 5, 150, 76.028004
disconnected, 5, 200, 89.069945
disconnected, 5, 250, 96.393557
disconnected, 5, 300, 103.492144
disconnected, 6, 25, 28.847376
disconnected, 6, 50, 38.559120
disconnected, 6, 75, 47.981161
disconnected, 6, 100, 55.651560
disconnected, 6, 150, 63.893297
disconnected, 6, 200, 70.800735
disconnected, 6, 250, 77.420558
disconnected, 6, 300, 83.097375
disconnected, 7, 25, 23.984791
disconnected, 7, 50, 35.403852
disconnected, 7, 75, 42.086484
disconnected, 7, 100, 49.346216
disconnected, 7, 150, 56.855260
disconnected, 7, 200, 61.587063
disconnected, 7, 250, 67.360568
disconnected, 7, 300, 73.900150
disconnected, 8, 25, 23.953548
disconnected, 8, 50, 34.748889
disconnected, 8, 75, 38.991775
disconnected, 8, 100, 43.719814
disconnected, 8, 150, 48.952982
disconnected, 8, 200, 57.945875
disconnected, 8, 250, 62.781251
disconnected, 8, 300, 68.162576
disconnected, 9, 25, 21.664031
disconnected, 9, 50, 29.104224
disconnected, 9, 75, 36.063132
disconnected, 9, 100, 41.617629
disconnected, 9, 150, 47.282292
disconnected, 9, 200, 53.368982
disconnected, 9, 250, 58.392392
disconnected, 9, 300, 62.168315
disconnected, 10, 25, 20.950555
disconnected, 10, 50, 30.816614
disconnected, 10, 75, 35.124973
disconnected, 10, 100, 39.197189
disconnected, 10, 150, 45.466804
disconnected, 10, 200, 52.668366
disconnected, 10, 250, 57.162717
disconnected, 10, 300, 58.821025
degenerate, 2, 25, 208.727741
degenerate, 2, 50, 402.095658
degenerate, 2, 75, 646.680256
degenerate, 2, 100, 828.442175
degenerate, 2, 150, 1328.686940
degenerate, 2, 200, 1855.451998
degenerate, 2, 250, 2266.809582
degenerate, 2, 300, 2721.372461
degenerate, 3, 25, 170.426134
degenerate, 3, 50, 335.349759
degenerate, 3, 75, 540.557931
degenerate, 3, 100, 691.268572
degenerate, 3, 150, 1040.723651
degenerate, 3, 200, 1577.378712
degenerate, 3, 250, 1953.232899
degenerate, 3, 300, 2177.854400
degenerate, 4, 25, 153.088117
degenerate, 4, 50, 294.484191
degenerate, 4, 75, 445.993038
degenerate, 4, 100, 617.689467
degenerate, 4, 150, 929.468295
degenerate, 4, 200, 1231.631481
degenerate, 4, 250, 1638.324226
degenerate, 4, 300, 1858.754316
degenerate, 5, 25, 126.301476
degenerate, 5, 50, 276.198971
degenerate, 5, 75, 422.789973
degenerate, 5, 100, 563.576048
degenerate, 5, 150, 850.692670
degenerate, 5, 200, 1081.656096
degenerate, 5, 250, 1412.611718
degenerate, 5, 300, 1663.128141
degenerate, 6, 25, 130.570974
degenerate, 6, 50, 253.467010
degenerate, 6, 75, 384.506645
degenerate, 6, 100, 491.790870
degenerate, 6, 150, 739.900287
degenerate, 6, 200, 1000.114030
degenerate, 6, 250, 1217.137257
degenerate, 6, 300, 1529.417425
degenerate, 7, 25, 114.548110
degenerate, 7, 50, 237.278713
degenerate, 7, 75, 358.945970
